tag_name,doc_name,pnum,query_granularity,corpus_granularity,n_tagged,n_shared_best,noise_best,l2_distance,n_grid_points
CI Definition Marking Required,SRT NDA Master Template (OTPP Markup v2).docx,10,sentence,sentence,7,1,0.1,0.7694227677130393,8
CI Definition Scope,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,paragraph,chunk,76,10,0.2,0.9563535621160487,4
CI Definition Scope,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,paragraph,paragraph,29,1,0.2,1.463522433035334,5
CI Definition Scope,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,paragraph,sentence,48,1,0.2,1.085511894074685,5
CI Definition Scope,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,sentence,chunk,76,8,0.2,2.633210391974455,9
CI Definition Scope,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,sentence,paragraph,29,10,0.2,1.744254750404907,10
CI Definition Scope,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,sentence,sentence,48,10,0.2,0.40533602328271545,3
CI Definition Scope,Project Greenlight - KHLP3 - OTPP NDA.docx,9,paragraph,chunk,92,10,0.2,2.392027186316489,14
CI Definition Scope,Project Greenlight - KHLP3 - OTPP NDA.docx,9,paragraph,paragraph,29,2,0.2,4.7580148329015985,11
CI Definition Scope,Project Greenlight - KHLP3 - OTPP NDA.docx,9,paragraph,sentence,48,1,0.2,4.30842777409802,9
CI Definition Scope,Project Greenlight - KHLP3 - OTPP NDA.docx,9,sentence,chunk,92,10,0.2,1.2041045175410032,8
CI Definition Scope,Project Greenlight - KHLP3 - OTPP NDA.docx,9,sentence,paragraph,29,2,0.2,2.083154584401411,6
CI Definition Scope,Project Greenlight - KHLP3 - OTPP NDA.docx,9,sentence,sentence,48,1,0.2,1.6941983556179065,6
